FilmID,Title,Release Date,DirectorID,Lead Actor/Actress,LanguageID,Industry,GenreID,Budget in Crores,First Day Collection Worldwide  in Crores,Worldwide Collection  in Crores,Overseas Collection in Crores,India Gross Collection in Crores,Verdict,IMDb Rating,Runtime (mins),OTT Platform
207,Two Countries,25-12-2015,266,Dileep,509,Mollywood,620,12.00,2.20,50.30,14.00,36.30,Blockbuster,6.9,154,Sun NXT
208,Bhale Bhale Magadivoy,04-09-2015,180,Nani,505,Tollywood,630,10.00,6.50,50.00,10.00,40.00,Blockbuster,7.7,137,Amazon Prime Video
209,Amar Akbar Anthony,16-10-2015,267,Prithviraj Sukumaran,509,Mollywood,642,7.00,1.60,46.40,13.00,33.40,Blockbuster,6.6,140,Sun NXT
210,Kick 2,21-08-2015,268,Ravi Teja,505,Tollywood,615,30.00,10.00,36.60,2.10,34.50,Flop,5,170,Amazon Prime Video
211,Charlie,24-12-2015,269,Dulquer Salmaan,509,Mollywood,677,7.00,2.10,36.10,15.80,20.30,Blockbuster,8,130,Amazon Prime Video
212,Oru Vadakkan Selfie,27-03-2015,270,Nivin Pauly,509,Mollywood,678,4.00,1.10,31.50,10.00,21.50,Super Hit,6.7,141,Amazon Prime Video
213,Dangal,22-12-2016,271,Aamir Khan,501,Bollywood,679,70.00,58.00,2122.30,1535.30,587.00,All Time Blockbuster,8.3,161,Disney+ Hotstar
214,Sultan,06-07-2016,111,Salman Khan,501,Bollywood,680,140.00,71.30,607.70,186.50,421.20,Blockbuster,7.1,170,Amazon Prime Video
215,Kabali,22-07-2016,147,Rajinikanth,503,Kollywood,605,90.00,90.00,309.00,104.00,205.00,Super Hit,6.1,153,Amazon Prime Video
216,Ae Dil Hai Mushkil,28-10-2016,272,Ranbir Kapoor,501,Bollywood,681,70.00,13.20,240.70,82.20,158.40,Hit,5.8,158,Amazon Prime Video
217,Airlift,22-01-2016,273,Akshay Kumar,501,Bollywood,634,35.00,12.50,228.00,45.00,183.00,Super Hit,7.9,130,JioCinema
218,Rustom,12-08-2016,274,Akshay Kumar,501,Bollywood,654,50.00,14.10,216.00,39.20,177.00,Super Hit,7,148,ZEE5
219,M.S. Dhoni: The Untold Story,30-09-2016,275,Sushant Singh Rajput,501,Bollywood,682,100.00,21.40,215.40,30.80,184.60,Super Hit,8,184,Amazon Prime Video
220,Housefull 3,03-06-2016,276,Akshay Kumar,501,Bollywood,615,85.00,15.20,185.70,31.50,154.20,Hit,4.9,140,Disney+ Hotstar
221,Fan,15-04-2016,277,Shah Rukh Khan,501,Bollywood,627,110.00,19.10,182.20,69.00,113.20,Average,6.9,138,Amazon Prime Video
222,Theri,15-04-2016,201,Joseph Vijay,503,Kollywood,607,75.00,28.00,154.50,44.30,110.20,Super Hit,7.3,157,Amazon Prime Video
223,Pulimurugan,04-11-2016,278,Mohanlal,509,Mollywood,618,25.00,4.10,150.00,44.10,105.90,All Time Blockbuster,6.6,161,Amazon Prime Video
224,Shivaay,28-10-2016,279,Ajay Devgn,501,Bollywood,683,100.00,10.20,147.20,8.70,138.50,Below Average,6.1,153,Amazon Prime Video
225,Janatha Garage,01-09-2016,140,N.T. Rama Rao Jr.,503,Kollywood,605,50.00,45.00,140.00,15.00,125.00,Blockbuster,7.2,162,Disney+ Hotstar
226,Dear Zindagi,25-11-2016,280,Alia Bhatt,501,Bollywood,636,50.00,8.80,136.10,43.70,92.40,Hit,7.4,151,Netflix
227,Sarrainodu,22-04-2016,241,Allu Arjun,505,Tollywood,606,50.00,23.00,134.00,10.00,124.00,Super Hit,6.6,159,Amazon Prime Video
228,Baaghi,29-04-2016,121,Tiger Shroff,501,Bollywood,663,35.00,11.80,125.80,23.10,102.70,Blockbuster,5.3,133,Amazon Prime Video
229,Dishoom,29-07-2016,281,John Abraham,501,Bollywood,684,50.00,11.00,119.50,25.00,94.50,Average,5.2,124,Disney+ Hotstar
230,Mohenjo Daro,12-08-2016,282,Hrithik Roshan,501,Bollywood,685,115.00,8.90,107.80,29.20,78.60,Disaster,5.6,155,Netflix
231,Pink,16-09-2016,283,Amitabh Bachchan,501,Bollywood,654,30.00,4.30,104.20,15.90,88.30,Super Hit,8,136,Disney+ Hotstar
232,24,06-05-2016,122,Suriya,503,Kollywood,686,70.00,21.00,102.00,28.80,73.20,Hit,7.8,164,Amazon Prime Video
233,Befikre,09-12-2016,284,Vaani Kapoor,501,Bollywood,608,65.00,10.40,99.40,15.70,83.70,Below Average,4.1,130,Amazon Prime Video
234,Oopiri,25-03-2016,125,Nagarjuna Akkineni,505,Tollywood,620,50.00,10.20,97.70,10.80,86.90,Super Hit,8,158,Amazon Prime Video
235,Dhruva,09-12-2016,113,Ram Charan,505,Tollywood,607,50.00,20.00,89.60,10.00,79.60,Hit,7.7,165,Amazon Prime Video
236,Iru Mugan,09-09-2016,190,Vikram,503,Kollywood,622,40.00,25.00,89.00,14.00,75.00,Hit,6.3,154,Amazon Prime Video
237,Nannaku Prematho,13-01-2016,128,N.T. Rama Rao Jr.,505,Tollywood,627,50.00,24.00,88.40,13.70,74.70,Hit,7.5,168,Amazon Prime Video
238,Sardaar Gabbar Singh,08-04-2016,208,Pawan Kalyan,505,Tollywood,632,75.00,40.00,85.50,7.10,78.40,Flop,4.6,164,Amazon Prime Video
239,Soggade Chinni Nayana,14-01-2016,193,Nagarjuna Akkineni,505,Tollywood,620,30.00,6.50,82.30,5.70,76.60,Super Hit,6.3,145,Amazon Prime Video
240,A Aa,02-06-2016,143,Nithiin,505,Tollywood,608,35.00,12.60,80.00,10.00,70.00,Hit,6.8,152,Amazon Prime Video
241,Remo,07-10-2016,285,Sivakarthikeyan,503,Kollywood,630,25.00,8.00,75.00,11.50,63.50,Blockbuster,6,151,Amazon Prime Video
242,Kaashmora,28-10-2016,286,Karthi,503,Kollywood,687,65.00,12.50,61.00,4.00,57.00,Disaster,5.6,163,Amazon Prime Video
243,Force 2,18-11-2016,287,John Abraham,501,Bollywood,651,40.00,6.10,58.70,10.50,48.20,Flop,6.2,127,Disney+ Hotstar
244,Brahmotsavam,20-05-2016,288,Mahesh Babu,505,Tollywood,636,75.00,25.00,58.30,7.80,50.50,Disaster,4,156,Amazon Prime Video
245,A Flying Jatt,25-08-2016,135,Tiger Shroff,501,Bollywood,688,45.00,7.10,56.20,4.10,52.10,Flop,3.1,151,Amazon Prime Video
