FilmID,Title,Release Date,DirectorID,Lead Actor/Actress,LanguageID,Industry,GenreID,Budget in Crores,First Day Collection Worldwide  in Crores,Worldwide Collection  in Crores,Overseas Collection in Crores,India Gross Collection in Crores,Verdict,IMDb Rating,Runtime (mins),OTT Platform
335,Malikappuram,30-12-2022,333,Unni Mukundan,509,Mollywood,698,4.00,0.52,52.40,10.50,41.90,Blockbuster,7.4,121,Disney+ Hotstar
336,Runway 34,29-04-2022,279,Ajay Devgn,501,Bollywood,664,80.00,5.00,50.70,9.00,41.70,Disaster,7,145,Amazon Prime Video
337,Thank God,25-10-2022,334,Sidharth Malhotra,501,Bollywood,712,70.00,12.55,48.99,6.50,42.49,Disaster,5.6,121,Amazon Prime Video
338,Jana Gana Mana,28-04-2022,335,Prithviraj Sukumaran,509,Mollywood,654,15.00,2.00,48.80,18.70,30.10,Blockbuster,8.3,162,Netflix
339,Uunchai,11-11-2022,255,Amitabh Bachchan,501,Bollywood,713,40.00,3.15,48.32,9.50,38.82,Average,7,173,ZEE5
340,Rocketry: The Nambi Effect,01-07-2022,336,Madhavan,503,Kollywood,633,25.00,2.50,45.25,5.00,40.25,Hit,8.7,157,Amazon Prime Video
341,Kaduva,07-07-2022,337,Prithviraj Sukumaran,509,Mollywood,627,18.00,5.56,44.93,20.70,24.23,Super Hit,6.1,155,Amazon Prime Video
342,Doctor G,14-10-2022,338,Ayushmann Khurrana,501,Bollywood,620,25.00,5.07,44.10,11.00,33.10,Average,6.6,124,Netflix
343,Jaya Jaya Jaya Jaya Hey,28-10-2022,339,Darshana Rajendran,509,Mollywood,707,5.00,1.20,43.20,12.10,31.10,Blockbuster,7.7,145,Disney+ Hotstar
344,HIT: The 2nd Case,02-12-2022,340,Adivi Sesh,505,Tollywood,626,15.00,11.50,41.85,11.50,30.35,Super Hit,7.1,150,Amazon Prime Video
345,Prince,21-10-2022,301,Premgi Amaren,503,Kollywood,619,35.00,8.50,41.13,9.00,32.13,Flop,4.4,143,Amazon Prime Video
346,Thallumaala,12-08-2022,341,Tovino Thomas,509,Mollywood,610,15.00,7.50,40.00,13.35,26.65,Blockbuster,7,148,Netflix
347,Rorschach,14-10-2022,342,Mammootty,509,Mollywood,714,18.00,5.20,39.13,16.71,22.42,Super Hit,6.9,150,Disney+ Hotstar
348,Ante Sundharaniki,10-06-2022,343,Nani,505,Tollywood,630,30.00,10.30,36.50,11.00,25.50,Flop,7.6,173,Netflix
349,Naane Varuvean,29-09-2022,344,Dhanush,503,Kollywood,715,30.00,9.00,35.60,6.00,29.60,Flop,6.2,122,Amazon Prime Video
350,Yashoda,11-11-2022,345,amantha Ruth Prabhu,505,Tollywood,716,25.00,5.60,32.13,8.50,23.63,Below Average,6.5,135,Amazon Prime Video
351,Nna Thaan Case Kodu,11-08-2022,346,Kunchacko Boban,509,Mollywood,642,7.00,1.40,31.94,8.00,23.94,Blockbuster,8,138,Disney+ Hotstar
352,The Warriorr,14-07-2022,162,Ram Pothineni,505,Tollywood,605,35.00,12.50,31.50,1.50,30.00,Flop,4.8,155,Disney+ Hotstar
353,CBI 5,01-05-2022,347,Mammootty,509,Mollywood,717,15.00,4.45,31.30,15.00,16.30,Hit,5.6,162,Netflix
354,Jersey,22-04-2022,348,Shahid Kapoor,501,Bollywood,718,60.00,4.70,30.75,5.75,25.00,Disaster,7.3,170,Netflix
355,DJ Tillu,12-02-2022,349,Sidhu Jonnalagadda,505,Tollywood,719,10.00,8.00,30.50,3.20,27.30,Blockbuster,7.2,121,Aha
356,Paappan,29-07-2022,350,Suresh Gopi,509,Mollywood,700,10.00,2.55,28.20,8.60,19.60,Super Hit,6.7,169,ZEE5
357,Badhaai Do,11-02-2022,351,Rajkummar Rao,501,Bollywood,720,25.00,1.95,28.15,3.00,25.15,Flop,7,147,Netflix
358,Heropanti 2,29-04-2022,136,Kriti Sanon,501,Bollywood,719,80.00,9.00,28.00,2.70,25.30,Disaster,2.3,145,Amazon Prime Video
359,Khiladi,11-02-2022,352,Ravi Teja,505,Tollywood,607,40.00,8.20,23.50,1.80,21.70,Disaster,5.2,154,Amazon Prime Video
360,Jhund,04-03-2022,353,Amitabh Bachchan,501,Bollywood,682,20.00,2.75,23.00,5.70,17.30,Flop,7.4,176,ZEE5
361,18 Pages,23-12-2022,354,Nikhil Siddharth,505,Tollywood,638,15.00,3.60,22.96,3.30,19.66,Average,7.1,135,Netflix
362,Attack,01-04-2022,355,Jacqueline Fernandez,501,Bollywood,622,55.00,5.15,22.00,3.20,18.80,Disaster,6.8,121,ZEE5
363,Kanam,09-09-2022,356,Sathish,505,Tollywood,721,15.00,2.80,21.80,7.00,14.80,Average,7.8,160,Amazon Prime Video
364,Yaanai,01-07-2022,166,Arun Vijay,503,Kollywood,619,15.00,2.70,21.80,2.00,19.80,Average,6.1,154,Amazon Prime Video
365,Aaraattu,18-02-2022,357,Mohanlal,509,Mollywood,606,18.00,6.95,20.15,7.00,13.15,Flop,3.8,167,Amazon Prime Video
366,Chup,23-09-2022,358,Dulquer Salmaan,501,Bollywood,722,20.00,4.00,20.00,6.00,14.00,Flop,7.5,135,ZEE5
367,Tanhaji: The Unsung Warrior,10-01-2020,359,Ajay Devgn,501,Bollywood,723,150.00,21.80,361.00,36.00,325.00,Blockbuster,7.5,135,Disney+ Hotstar
368,Ala Vaikunthapurramuloo,10-01-2020,143,Allu Arjun,505,Tollywood,610,100.00,57.00,269.35,36.00,233.35,Blockbuster,7.3,163,Netflix
369,Darbar,10-01-2020,107,Rajinikanth,503,Kollywood,607,200.00,53.00,247.80,74.00,173.80,Below Average,5.9,159,Amazon Prime Video
370,Sarileru Neekevvaru,10-01-2020,230,Mahesh Babu,505,Tollywood,610,100.00,65.00,221.70,25.00,196.70,Super Hit,5.8,169,Amazon Prime Video
371,Baaghi 3,06-03-2020,136,Tiger Shroff,501,Bollywood,651,100.00,26.50,137.00,23.00,114.00,Flop,2.2,143,Disney+ Hotstar
372,Street Dancer 3D,24-01-2020,135,Varun Dhawan,501,Bollywood,650,100.00,14.70,102.00,15.00,87.00,Flop,3.7,146,Amazon Prime Video
373,Shubh Mangal Zyada Saavdhan,21-02-2020,360,Ayushmann Khurrana,501,Bollywood,724,50.00,14.20,83.00,10.00,73.00,Average,5.8,117,Amazon Prime Video
374,Malang - Unleash the Madness,07-02-2020,109,Aditya Roy Kapoor,501,Bollywood,609,50.00,9.80,80.00,10.00,70.00,Average,6.5,135,Netflix
375,Love Aaj Kal,14-02-2020,207,Kartik Aaryan,501,Bollywood,636,60.00,18.00,56.90,10.00,46.90,Flop,4.7,142,Amazon Prime Video
376,Chhapaak,10-01-2020,139,Deepika Padukone,501,Bollywood,633,50.00,4.70,55.50,15.00,40.50,Flop,5.4,120,Disney+ Hotstar
377,Bheeshma,21-02-2020,189,Nithiin,505,Tollywood,615,25.00,13.00,52.00,10.00,42.00,Super Hit,6.6,150,Netflix
378,Anjaam Pathiraa,31-01-2020,244,Kunchacko Boban,509,Mollywood,717,5.00,1.50,50.00,15.00,35.00,Blockbuster,7.9,144,Sun NXT
379,Thappad,28-02-2020,361,Taapsee Pannu,501,Bollywood,647,22.00,3.10,44.50,8.10,36.40,Hit,7,142,Amazon Prime Video
380,Pattas,17-01-2020,362,Dhanush,503,Kollywood,606,40.00,8.00,43.00,6.00,37.00,Below Average,5.6,141,Amazon Prime Video
381,Ayyappanum Koshiyum,14-02-2020,363,Biju Menon,509,Mollywood,627,10.00,2.50,43.00,13.00,30.00,Blockbuster,8,177,Amazon Prime Video
382,Shylock,23-01-2020,364,Mammootty,509,Mollywood,627,15.00,4.00,34.00,13.00,21.00,Hit,5.1,130,Amazon Prime Video
383,Jawaani Jaaneman,31-01-2020,365,Saif Ali Khan,501,Bollywood,620,40.00,3.20,42.00,9.50,32.50,Flop,6.5,119,Amazon Prime Video
384,Panga,24-01-2020,226,Kangana Ranaut,501,Bollywood,718,40.00,2.70,41.70,7.20,34.50,Flop,6.8,131,Disney+ Hotstar
385,Bhoot: Part One - The Haunted Ship,21-02-2020,366,Vicky Kaushal,501,Bollywood,661,30.00,5.10,39.30,2.80,36.50,Below Average,5.4,114,Amazon Prime Video
386,Varane Avashyamund,07-02-2020,367,Shobana,509,Mollywood,608,10.00,1.50,31.50,6.00,25.50,Super Hit,6.9,145,Netflix
387,Trance,21-02-2020,368,Fahadh Faasil,509,Mollywood,664,35.00,3.60,25.20,6.00,19.20,Disaster,7.3,170,Amazon Prime Video
388,Entha Manchivaadavuraa,15-01-2020,185,Nandamuri Kalyan Ram,505,Tollywood,606,15.00,4.20,25.00,2.90,22.10,Hit,5.2,152,Amazon Prime Video
389,World Famous Lover,13-02-2020,369,Vijay Deverakonda,505,Tollywood,608,35.00,7.60,20.00,3.10,16.90,Disaster,5,154,Netflix
390,War,02-10-2019,104,Hrithik Roshan,501,Bollywood,651,175.00,74.30,475.62,97.04,378.58,Blockbuster,6.5,151,Amazon Prime Video
391,Saaho,30-08-2019,370,Prabhas,505,Tollywood,618,50.00,30.00,451.00,92.00,359.00,Below Average,5.1,170,Amazon Prime Video
392,Kabir Singh,21-06-2019,231,Shahid Kapoor,501,Bollywood,619,55.00,26.50,377.00,47.00,330.00,Blockbuster,7,173,Netflix
393,Uri: The Surgical Strike,11-01-2019,371,Vicky Kaushal,501,Bollywood,696,40.00,8.20,341.75,48.00,293.75,Blockbuster,8.2,138,ZEE5
394,Bharat,05-06-2019,111,Salman Khan,501,Bollywood,610,60.00,65.00,321.00,70.00,251.00,Hit,4.7,150,Amazon Prime Video
395,Bigil,25-10-2019,201,Joseph Vijay,503,Kollywood,665,80.00,62.80,295.85,94.00,201.85,Super Hit,6.7,179,Amazon Prime Video
396,Housefull 4,25-10-2019,328,Akshay Kumar,501,Bollywood,725,25.00,30.50,296.00,49.00,247.00,Hit,3.6,145,Disney+ Hotstar
397,Mission Mangal,15-08-2019,372,Akshay Kumar,501,Bollywood,726,75.00,42.00,290.30,54.30,236.00,Blockbuster,6.5,130,Disney+ Hotstar
398,Sye Raa Narasimha Reddy,27-09-2019,113,Chiranjeevi,505,Tollywood,685,25.00,85.00,246.60,30.00,216.60,Average,7.2,167,Amazon Prime Video
399,Gully Boy,15-02-2019,256,Ranveer Singh,501,Bollywood,727,75.00,20.00,235.70,71.00,164.70,Super Hit,7.9,154,Amazon Prime Video
400,Petta,10-01-2019,373,Rajinikanth,503,Kollywood,606,25.00,37.50,232.90,74.00,158.90,Super Hit,7.1,171,Amazon Prime Video
401,Total Dhamaal,22-02-2019,334,Ajay Devgn,501,Bollywood,684,5.00,17.00,232.10,48.50,183.60,Hit,4.2,130,Disney+ Hotstar
402,Dabangg 3,20-12-2019,117,Salman Khan,501,Bollywood,649,25.00,39.00,218.00,40.00,178.00,Below Average,3,160,Disney+ Hotstar
403,Super 30,12-07-2019,374,Hrithik Roshan,501,Bollywood,633,90.00,20.00,210.00,39.00,171.00,Hit,7.9,154,Disney+ Hotstar
404,Kesari,21-03-2019,375,Akshay Kumar,501,Bollywood,728,0.00,27.00,208.80,25.00,183.80,Hit,7.4,150,Amazon Prime Video
405,Viswasam,11-01-2019,114,Ajith Kumar,503,Kollywood,606,90.00,29.00,204.20,43.00,161.20,Super Hit,6.5,153,Amazon Prime Video
406,Maharshi,10-05-2019,125,Mahesh Babu,505,Tollywood,606,90.00,48.00,176.00,22.00,154.00,Hit,7.2,176,Amazon Prime Video
407,Kalank,19-04-2019,108,Kriti Sanon,501,Bollywood,636,50.00,30.00,146.80,47.00,99.80,Disaster,3.6,166,Amazon Prime Video
408,Manikarnika: The Queen of Jhansi,25-01-2019,376,Kangana Ranaut,501,Bollywood,723,0.00,8.50,142.00,25.40,116.60,Below Average,6.4,148,ZEE5
409,Badla,08-03-2019,289,Amitabh Bachchan,501,Bollywood,700,20.00,10.00,140.40,36.00,104.40,Blockbuster,7.7,118,Netflix
410,De De Pyaar De,17-05-2019,377,Ajay Devgn,501,Bollywood,608,75.00,17.50,139.00,16.00,123.00,Hit,6.5,135,Amazon Prime Video
411,F2: Fun and Frustration,12-01-2019,230,Tamannaah Bhatia,505,Tollywood,631,30.00,12.50,137.60,20.00,117.60,Blockbuster,6.1,148,Amazon Prime Video
412,Kanchana 3,19-04-2019,259,Raghava Lawrence,503,Kollywood,652,40.00,20.00,130.20,15.00,115.20,Super Hit,4.2,164,Amazon Prime Video
413,Lucifer,29-03-2019,378,Mohanlal,509,Mollywood,621,35.00,14.00,129.20,50.50,78.70,Blockbuster,7.5,175,Amazon Prime Video
414,Luka Chuppi,01-03-2019,379,Kartik Aaryan,501,Bollywood,630,25.00,8.00,128.00,17.00,111.00,Blockbuster,6.4,126,Netflix
415,Nerkonda Paarvai,09-08-2019,225,Ajith Kumar,503,Kollywood,621,50.00,27.00,126.70,25.00,101.70,Hit,7.7,157,Amazon Prime Video
416,Kaithi,25-10-2019,296,Karthi,503,Kollywood,621,25.00,9.00,106.80,20.00,86.80,Blockbuster,8.4,145,Amazon Prime Video
417,Vinaya Vidheya Rama,11-01-2019,241,Ram Charan,505,Tollywood,606,75.00,42.00,97.90,3.90,94.00,Flop,3.3,146,Amazon Prime Video
418,Student of the Year 2,10-05-2019,380,Tiger Shroff,501,Bollywood,729,75.00,14.00,95.50,11.00,84.50,Flop,2.2,146,Amazon Prime Video
419,Kaappaan,20-09-2019,248,Suriya,503,Kollywood,618,75.00,15.50,94.50,14.00,80.50,Average,6.2,166,Amazon Prime Video
420,Kurukshetra,09-08-2019,381,Darshan Thoogudeep,507,Sandalwood,730,60.00,8.20,81.00,3.00,78.00,Hit,6.2,185,Amazon Prime Video
421,iSmart Shankar,18-07-2019,382,Ram Pothineni,505,Tollywood,622,20.00,13.00,80.00,4.00,76.00,Blockbuster,5.4,140,ZEE5
422,Madhura Raja,12-04-2019,278,Mammootty,509,Mollywood,610,30.00,9.10,78.40,16.00,62.40,Blockbuster,5.9,147,Amazon Prime Video
423,Avane Srimannarayana,27-12-2019,383,Rakshit Shetty,507,Sandalwood,731,25.00,5.50,75.30,4.10,71.20,Blockbuster,7.7,186,Amazon Prime Video
424,Namma Veettu Pillai,27-09-2019,155,Sivakarthikeyan,503,Kollywood,610,30.00,10.00,72.00,12.00,60.00,Blockbuster,6,153,Sun NXT
425,Asuran,03-10-2019,157,Dhanush,503,Kollywood,606,25.00,5.40,68.80,48.60,20.20,Blockbuster,8.4,141,Amazon Prime Video
426,NGK,31-05-2019,344,Suriya,503,Kollywood,606,65.00,19.00,62.00,12.00,50.00,Disaster,5.7,148,Amazon Prime Video
427,Majili,05-04-2019,229,Naga Chaitanya Akkineni,505,Tollywood,636,20.00,10.00,60.00,10.00,50.00,Super Hit,7.3,154,Amazon Prime Video
428,Prati Roju Pandaage,19-12-2019,180,Sai Dharam Tej,505,Tollywood,643,25.00,7.10,53.50,4.40,49.10,Blockbuster,6.3,146,Amazon Prime Video
429,Pailwaan,13-09-2019,384,Suniel Shetty,507,Sandalwood,665,35.00,9.00,53.40,5.00,48.40,Hit,6.2,166,Amazon Prime Video
430,Comali,16-08-2019,327,Jayam Ravi,503,Kollywood,631,25.00,13.00,53.00,8.50,43.50,Blockbuster,6.9,143,Amazon Prime Video
431,Yajamana,01-03-2019,385,Darshan Thoogudeep,507,Sandalwood,637,20.00,7.30,52.00,3.00,49.00,Blockbuster,6.1,164,Amazon Prime Video
432,Jersey,18-04-2019,348,Nani,505,Tollywood,718,20.00,8.20,51.70,12.00,39.70,Super Hit,8.5,157,Netflix
433,Natasaarvabhowma,15-02-2019,386,Puneeth Rajkumar,507,Sandalwood,637,20.00,6.70,50.00,1.00,49.00,Hit,6.5,157,Amazon Prime Video
434,Venky Mama,12-12-2019,208,Venkatesh Daggubati,505,Tollywood,610,35.00,12.20,47.60,5.30,42.30,Average,5.4,149,Amazon Prime Video
435,Kadaram Kondan,19-07-2019,387,Vikram,503,Kollywood,607,40.00,9.00,40.00,5.00,35.00,Flop,5.6,121,Amazon Prime Video
436,Kumbalangi Nights,22-02-2019,388,Fahadh Faasil,509,Mollywood,608,5.00,0.87,39.40,16.40,23.00,Blockbuster,8.5,135,Amazon Prime Video
437,Gang Leader,12-09-2019,122,Nani,505,Tollywood,691,25.00,11.20,39.40,5.40,34.00,Average,7.6,155,Amazon Prime Video
438,Gaddalakonda Ganesh,20-09-2019,210,Varun Tej,505,Tollywood,603,30.00,7.20,38.00,5.00,33.00,Average,6.3,130,Disney+ Hotstar
439,Hero,20-12-2019,158,Sivakarthikeyan,503,Kollywood,627,30.00,5.00,37.20,3.80,33.40,Below Average,6.3,164,Amazon Prime Video
440,Dear Comrade,26-07-2019,389,Vijay Deverakonda,505,Tollywood,680,35.00,14.00,37.00,6.00,31.00,Flop,7.3,169,Amazon Prime Video
441,Thanneer Mathan Dhinangal,09-08-2019,390,Vineeth Sreenivasan,509,Mollywood,630,4.00,1.20,34.10,13.20,20.90,Blockbuster,7.8,136,Amazon Prime Video
442,Oh! Baby,05-07-2019,391,Samantha Ruth Prabhu,505,Tollywood,617,15.00,4.80,33.90,7.40,26.50,Blockbuster,7.3,161,Netflix
443,Thambi,20-12-2019,177,Karthi,503,Kollywood,618,25.00,4.00,33.50,6.00,27.50,Below Average,6.7,149,Amazon Prime Video
444,Mamangam: History of the Brave,13-12-2019,392,Mammootty,509,Mollywood,696,45.00,9.50,32.40,11.70,20.70,Disaster,5.3,157,Amazon Prime Video
445,NTR: Kathanayakudu,08-01-2019,219,Nandamuri Balakrishna,505,Tollywood,633,50.00,12.60,31.50,7.00,24.50,Disaster,5.8,169,Amazon Prime Video
446,Love Action Drama,13-09-2019,393,Nivin Pauly,509,Mollywood,630,8.00,2.00,31.10,8.00,23.10,Blockbuster,5.2,146,Sun NXT
447,Driving Licence,24-12-2019,394,Prithviraj Sukumaran,509,Mollywood,732,4.00,1.10,31.00,7.50,23.50,Blockbuster,7.2,135,Amazon Prime Video
448,Mr.Local,03-05-2019,395,Sivakarthikeyan,503,Kollywood,613,35.00,9.00,29.00,6.50,22.50,Disaster,3.3,155,Amazon Prime Video
449,Super Deluxe,05-04-2019,396,Vijay Sethupathi,503,Kollywood,733,25.00,2.20,27.80,6.00,21.80,Below Average,8.2,176,Netflix
450,Ittymaani: Made in China,05-09-2019,397,Mohanlal,509,Mollywood,620,10.00,2.80,27.70,9.00,18.70,Hit,4.3,158,Amazon Prime Video
451,Chitralahari,12-04-2019,246,Sai Dharam Tej,505,Tollywood,608,15.00,6.60,27.10,2.00,25.10,Hit,7.1,131,Amazon Prime Video
452,Thadam,01-03-2019,398,Arun Vijay,503,Kollywood,626,14.00,1.20,26.00,4.00,22.00,Above Average,8.1,138,Amazon Prime Video
453,Odeya,12-12-2019,399,Darshan Thoogudeep,507,Sandalwood,606,15.00,2.50,25.50,1.00,24.50,Hit,3.8,164,Amazon Prime Video
454,Rakshasudu,02-08-2019,352,Sai Srinivas Bellamkonda,505,Tollywood,607,10.00,3.90,24.20,3.00,21.20,Hit,7.9,122,ZEE5
455,Dhilluku Dhuddu 2,25-01-2019,400,Santhanam,503,Kollywood,628,7.00,2.20,24.00,7.50,16.50,Super Hit,5.4,119,Amazon Prime Video
456,Oru Yamandan Premakadha,03-05-2019,401,Dulquer Salmaan,509,Mollywood,608,7.00,2.00,23.20,6.20,17.00,Hit,5.1,165,Amazon Prime Video
457,Uyare,03-05-2019,402,Parvathy Thiruvothu,509,Mollywood,647,6.00,1.20,23.70,7.80,15.90,Super Hit,8,125,Amazon Prime Video
458,Unda,14-06-2019,341,Mammootty,509,Mollywood,691,8.00,1.70,23.00,7.00,16.00,Hit,7.7,130,Amazon Prime Video
459,Virus,14-06-2019,403,Parvathy Thiruvothu,509,Mollywood,664,6.00,1.10,22.20,6.40,15.80,Super Hit,7.7,152,Amazon Prime Video
460,Mr. Majnu,24-01-2019,169,Akhil Akkineni,505,Tollywood,638,30.00,7.50,21.00,1.60,19.40,Disaster,6.1,145,ZEE5
461,LKG,22-02-2019,404,RJ Balaji,503,Kollywood,631,5.00,3.50,20.90,4.70,16.20,Blockbuster,6.9,124,Aha
462,118,01-03-2019,405,Nandamuri Kalyan Ram,505,Tollywood,714,12.00,2.80,20.80,0.00,20.80,Average,6.4,120,Disney+ Hotstar
463,Jawan,07-09-2023,201,Shah Rukh Khan,501,Bollywood,621,300.00,129.10,1160.00,400.00,760.00,All Time Blockbuster,6.9,169,Netflix
464,Pathaan,25-01-2023,104,Shah Rukh Khan,501,Bollywood,651,250.00,104.80,1055.00,397.50,657.50,All Time Blockbuster,5.8,146,Amazon Prime Video
465,Animal,01-12-2023,231,Ranbir Kapoor,501,Bollywood,621,150.00,116.00,915.00,255.00,660.00,Blockbuster,6.1,204,Netflix
466,Gadar 2,11-08-2023,406,Sunny Deol,501,Bollywood,699,80.00,53.30,686.00,65.50,620.50,Blockbuster,5.1,170,ZEE5
467,Salaar: Part 1 - Ceasefire,22-12-2023,131,Prabhas,505,Tollywood,621,280.00,158.10,617.75,130.00,487.75,Super Hit,6.6,175,Amazon Prime Video
468,Leo,19-10-2023,296,Joseph Vijay,503,Kollywood,621,250.00,142.70,605.90,204.00,401.90,Blockbuster,7.2,164,Netflix
469,Jailer,10-08-2023,181,Rajinikanth,503,Kollywood,603,200.00,96.60,604.50,196.00,408.50,Blockbuster,7.1,168,Amazon Prime Video
470,Tiger 3,12-11-2023,277,Salman Khan,501,Bollywood,651,250.00,94.00,464.00,124.50,339.50,Hit,5.7,155,Amazon Prime Video
471,Dunki,21-12-2023,101,Taapsee Pannu,501,Bollywood,734,120.00,58.00,454.00,182.00,272.00,Hit,6.5,160,Netflix
472,Adipurush,16-06-2023,359,Prabhas,505,Tollywood,735,500.00,127.50,393.00,50.00,343.00,Disaster,2.7,179,Amazon Prime Video
473,Rocky Aur Rani Kii Prem Kahaani,28-07-2023,272,Ranveer Singh,501,Bollywood,702,150.00,23.10,357.50,175.00,182.50,Hit,6.5,168,Amazon Prime Video
474,Ponniyin Selvan: Part Two,28-04-2023,310,Vikram,503,Kollywood,698,250.00,62.45,344.63,130.00,214.63,Hit,7.3,164,Amazon Prime Video
475,The Kerala Story,12-05-2023,407,Adah Sharma,501,Bollywood,647,25.00,9.50,302.00,15.50,286.50,Blockbuster,6.9,138,ZEE5
476,Varisu,11-01-2023,125,Joseph Vijay,503,Kollywood,613,200.00,47.20,297.55,89.00,208.55,Hit,6,169,Amazon Prime Video
477,Tu Jhoothi Main Makkaar,03-05-2023,145,Ranbir Kapoor,501,Bollywood,630,75.00,22.10,223.00,48.00,175.00,Hit,6,150,Netflix
478,OMG 2,11-08-2023,408,Pankaj Tripathi,501,Bollywood,620,70.00,12.10,221.75,43.00,178.75,Super Hit,7.5,156,Netflix
479,Waltair Veerayya,13-01-2023,208,Chiranjeevi,505,Tollywood,606,125.00,44.60,219.00,29.00,190.00,Super Hit,6.2,155,Amazon Prime Video
480,Thunivu,11-01-2023,225,Ajith Kumar,503,Kollywood,621,120.00,39.60,200.00,55.90,144.10,Hit,6.1,146,Netflix
481,Kisi Ka Bhai Kisi Ki Jaan,21-04-2023,328,Salman Khan,501,Bollywood,613,125.00,27.00,184.60,52.60,132.00,Below Average,4,145,Amazon Prime Video
482,2018,05-05-2023,409,Tovino Thomas,509,Mollywood,627,28.00,3.30,180.03,69.50,110.53,All Time Blockbuster,8.3,150,Amazon Prime Video
483,Dream Girl 2,25-08-2023,410,Ayushmann Khurrana,501,Bollywood,608,75.00,12.60,142.20,16.20,126.00,Hit,5.2,134,Netflix
484,Sam Bahadur,01-12-2023,139,Vicky Kaushal,501,Bollywood,736,60.00,8.40,130.30,18.50,111.80,Hit,7.7,150,ZEE5
485,Veera Simha Reddy,12-01-2023,253,Nandamuri Balakrishna,505,Tollywood,606,85.00,47.30,130.00,15.00,115.00,Above Average,4.9,170,Amazon Prime Video
486,Fukrey 3,29-09-2023,211,Pulkit Samrat,501,Bollywood,733,40.00,12.40,127.75,14.50,113.25,Hit,5.5,147,Amazon Prime Video
487,Bholaa,30-03-2023,279,Ajay Devgn,501,Bollywood,683,100.00,16.50,123.00,15.00,108.00,Average,5.8,144,Amazon Prime Video
488,Dasara,30-03-2023,411,Nani,505,Tollywood,698,65.00,37.00,118.50,22.00,96.50,Super Hit,6.6,156,Netflix
489,Satyaprem Ki Katha,30-06-2023,412,Kartik Aaryan,501,Bollywood,704,60.00,9.90,118.50,26.00,92.50,Hit,6.7,146,Amazon Prime Video
490,Vaathi,17-03-2023,169,Dhanush,503,Kollywood,606,40.00,14.40,116.20,25.00,91.20,Blockbuster,7.3,139,Amazon Prime Video
491,Zara Hatke Zara Bachke,02-06-2023,379,Vicky Kaushal,501,Bollywood,702,35.00,6.50,116.00,11.30,104.70,Super Hit,6,132,JioCinema
492,Bhagavanth Kesari,18-10-2023,230,Nandamuri Balakrishna,505,Tollywood,627,90.00,25.50,114.50,14.80,99.70,Below Average,5.9,164,Amazon Prime Video
493,Bro,27-07-2023,413,Sai Dharam Tej,505,Tollywood,737,100.00,43.70,114.00,16.80,97.20,Flop,6.1,134,Netflix
494,Mark Antony,15-09-2023,414,Vishal,503,Kollywood,738,35.00,11.45,104.30,19.00,85.30,Blockbuster,6.6,150,Amazon Prime Video
495,Virupaksha,21-04-2023,415,Sai Dharam Tej,505,Tollywood,739,40.00,11.00,89.80,14.00,75.80,Super Hit,7.2,145,Amazon Prime Video
496,Neru,21-12-2023,177,Mohanlal,509,Mollywood,664,15.00,5.85,85.60,32.35,53.25,Blockbuster,7.5,150,Amazon Prime Video
497,RDX: Robert Dony Xavier,24-09-2023,416,Antony Varghese,509,Mollywood,625,15.00,2.50,84.75,28.75,56.00,Blockbuster,7.1,151,Amazon Prime Video
498,Kannur Squad,28-09-2023,417,Mammootty,509,Mollywood,621,25.00,5.00,82.00,34.50,47.50,Blockbuster,7.6,161,Amazon Prime Video
499,Baby,14-07-2023,418,Anand Deverakonda,505,Tollywood,636,10.00,6.30,81.05,6.00,75.05,Blockbuster,7.1,175,Aha
500,Kaatera,29-12-2023,300,Darshan Thoogudeep,507,Sandalwood,637,45.00,13.00,80.50,0.00,80.50,Hit,7.4,183,Amazon Prime Video
501,Maaveeran,14-07-2023,419,Sivakarthikeyan,503,Kollywood,740,50.00,11.70,78.40,15.50,62.90,Hit,7.4,163,Amazon Prime Video
502,Hi Nanna,07-12-2023,420,Nani,505,Tollywood,741,45.00,9.80,76.35,18.50,57.85,Hit,8.2,155,Amazon Prime Video
503,Kushi,31-08-2023,229,Vijay Deverakonda,505,Tollywood,608,50.00,25.85,76.00,19.00,57.00,Average,5.4,163,Netflix
504,Maamannan,29-06-2023,303,Vadivelu,503,Kollywood,627,30.00,11.00,73.80,12.80,61.00,Super Hit,6.7,157,Netflix
505,12th Fail,27-10-2023,421,Vikrant Massey,501,Bollywood,633,20.00,1.50,70.05,3.50,66.55,Blockbuster,8.8,147,Netflix
506,Romancham,03-02-2023,422,Soubin Shahir,509,Mollywood,628,3.00,0.50,69.00,23.30,45.70,Blockbuster,7.5,130,Amazon Prime Video
507,Jigarthanda DoubleX,12-11-2023,373,Raghava Lawrence,503,Kollywood,610,50.00,4.15,64.55,12.30,52.25,Average,8,172,Netflix
508,Chandramukhi 2,15-09-2023,423,Raghava Lawrence,503,Kollywood,675,65.00,11.70,54.10,8.00,46.10,Disaster,2.6,172,Netflix
509,Viduthalai Part 1,31-03-2023,157,Soori,503,Kollywood,621,25.00,5.00,53.00,9.25,43.75,Blockbuster,8.3,150,ZEE5
510,Skanda: The Attacker,28-09-2023,241,Ram Pothineni,505,Tollywood,619,65.00,15.60,53.00,4.25,48.75,Disaster,4.2,167,Disney+ Hotstar
